dim,N,mean_gap_ext,max_gap_ext,mean_gap_int,max_gap_int,vol_ext_final,vol_int_final,runtime_ext,runtime_int,mc_gap_ext
2,8,-6.360652745248292e-17,4.440892098500626e-16,8.90491384334761e-17,8.881784197001252e-16,14.775045083720213,14.775045083720213,0.009407208999618888,0.019813209015410393,0.9850859427799676
3,8,-2.544261098099317e-17,4.440892098500626e-16,-3.2612801348363973e-16,8.881784197001252e-16,42.72253579919931,42.722535799199335,0.009757500025443733,0.020623749995138496,1.133333180699555
4,8,1.538121482032769e-16,1.3322676295501878e-15,-1.1564823173178715e-16,8.881784197001252e-16,109.15097861298257,109.15097861298257,0.009426208038348705,0.020646666001994163,1.103101961563717
5,8,-1.1564823173178713e-18,8.881784197001252e-16,7.748431526029738e-17,1.3322676295501878e-15,252.49095700960666,252.49095700960666,0.009811499970965087,0.021585541020613164,1.239038763390541
6,8,-1.61907524424502e-17,8.881784197001252e-16,1.2374360795301223e-16,1.1102230246251565e-15,537.5702099796746,537.5702099796741,0.009950249979738146,0.021816749998833984,1.235561437322809
7,8,-2.312964634635743e-17,8.881784197001252e-16,1.8156772381890582e-16,8.881784197001252e-16,1065.8757922996176,1065.8757922996167,0.009906541963573545,0.022901832999195904,1.2652931948302202
8,8,-3.5850951836854015e-17,4.440892098500626e-16,7.054542135639015e-17,1.5543122344752192e-15,1985.656022028665,1985.6560220286615,0.011999999987892807,0.028583249950315803,1.2538367971951185
9,8,1.5034270125132327e-17,6.661338147750939e-16,9.830099697201906e-17,1.1102230246251565e-15,nan,nan,0.01232924999203533,0.029703750042244792,1.3092952109408276
10,8,1.3877787807814457e-17,4.440892098500626e-16,7.28583859910259e-17,1.7763568394002505e-15,nan,nan,0.01192625000840053,0.031097541970666498,1.3068789503469262
11,8,-1.3877787807814457e-17,4.440892098500626e-16,8.673617379884035e-17,1.3322676295501878e-15,nan,nan,0.012344875023700297,0.03238720796070993,1.332044397718559
12,8,2.7755575615628914e-17,8.881784197001252e-16,-8.326672684688674e-17,8.881784197001252e-16,nan,nan,0.012561709037981927,0.0332244589808397,1.4420736701380963
