domain,nominal,ell_coverage,box_coverage,ell_ci_lo,ell_ci_hi,box_ci_lo,box_ci_hi
A_linear_correlated,0.7,0.58975,0.712375,0.5789308496570931,0.6004829989789822,0.7023558617286866,0.7221902787068174
A_linear_correlated,0.8,0.75175,0.834,0.7421642816926274,0.7610940625316841,0.8256866502241136,0.8419927419145954
A_linear_correlated,0.85,0.80575,0.880125,0.7969347984541929,0.8142717109661971,0.8728242297319516,0.8870608868450748
A_linear_correlated,0.9,0.881,0.92875,0.8737212864160813,0.8879129902451408,0.9229048579490556,0.9341835833068471
A_linear_correlated,0.95,0.946875,0.97175,0.9417423009508508,0.9515787420491062,0.9678867057354129,0.9751604596581082
A_linear_correlated,0.98,0.978625,0.988625,0.975218420427619,0.9815721456274397,0.9860554568625992,0.9907255101546963
B_learned_surrogate,0.7,0.5335,0.751375,0.5225546213345982,0.5444132218888951,0.7417846815288278,0.7607240226593996
B_learned_surrogate,0.8,0.722625,0.84775,0.7127093757708597,0.7323269256509369,0.8397106627420262,0.8554555307197586
B_learned_surrogate,0.85,0.795125,0.890625,0.7861400053675509,0.8038267030304627,0.8835973232535806,0.8972777143337943
B_learned_surrogate,0.9,0.87625,0.93175,0.8688530032879647,0.8832858329161948,0.9260143080823652,0.9370712534622087
B_learned_surrogate,0.95,0.94375,0.971125,0.9384848875585085,0.9485891551407494,0.9672233456402085,0.9745744196931726
B_learned_surrogate,0.98,0.975875,0.9875,0.97227737968487,0.9790158261055737,0.9848207931702117,0.9897112537388323
C_var_timeseries,0.7,0.459125,0.727625,0.4482273624354845,0.4700618736313725,0.717762182746942,0.7372693191559729
C_var_timeseries,0.8,0.671125,0.851125,0.6607501562939571,0.6813355801723202,0.8431562399592488,0.8587567138272908
C_var_timeseries,0.85,0.760625,0.893875,0.7511509714532079,0.7698488536250887,0.8869357615447973,0.9004361563553047
C_var_timeseries,0.9,0.85375,0.936875,0.8458370865821372,0.8613233474569897,0.9313334890232289,0.9419971530144914
C_var_timeseries,0.95,0.931625,0.976625,0.925884687711217,0.936950993821329,0.9730782670468129,0.9797142188157985
C_var_timeseries,0.98,0.978375,0.993625,0.9749505275318869,0.981340278499116,0.9916284482607591,0.9951477192376548
D_multimodal_failure,0.7,0.4605,0.702625,0.4495992746556342,0.4714386415435303,0.6925131555245339,0.7125423439727894
D_multimodal_failure,0.8,0.65425,0.816625,0.6437560860596077,0.6645958487828949,0.8079939302624167,0.8249521402044061
D_multimodal_failure,0.85,0.756625,0.878375,0.7470999578908839,0.7659037068025178,0.8710304817723875,0.8853563146362473
D_multimodal_failure,0.9,0.84425,0.921,0.8361388906795273,0.8520306624454743,0.9148851027322749,0.9267107777778945
D_multimodal_failure,0.95,0.929,0.965875,0.9231638660855757,0.9344243351943831,0.961667755518247,0.96963504930996
D_multimodal_failure,0.98,0.972875,0.9865,0.9690819422954444,0.9762141432063283,0.9837275272509962,0.9888054795618242
