domain,alpha,nominal,step,ell_volume,ell_bbox_volume,box_interval_volume,box_fair_volume,vol_ratio_ell_over_box
A_linear_correlated,0.1,0.9,0,0.7102074371587254,0.9043324645093016,0.9043324645093016,0.9043324645093016,0.7853388715223111
A_linear_correlated,0.1,0.9,1,5.8305838225509286,7.423845095203654,7.721692872311507,7.721692872311507,0.7550913923886136
A_linear_correlated,0.1,0.9,2,12.661911810640346,16.240499042401975,21.071194805598697,19.367946922017047,0.6009109558075951
A_linear_correlated,0.1,0.9,3,20.381946546147514,25.972418344392224,42.02317207057343,32.74774725799629,0.48501685003498096
A_linear_correlated,0.1,0.9,4,27.625734943306927,35.19536562515987,71.29213308577988,43.8749771448402,0.3875004681100955
A_linear_correlated,0.1,0.9,5,34.22832040309359,43.58390251338343,109.92487224378785,53.98056218960884,0.3113792147711859
A_linear_correlated,0.1,0.9,6,40.11897829861082,51.086233071161466,158.89034124244708,64.19579794286865,0.25249475823954715
A_linear_correlated,0.1,0.9,7,45.03118485854848,57.34463243682883,219.34440814623068,73.11174920285838,0.20529898728271873
A_linear_correlated,0.1,0.9,8,49.253053457810374,62.71363037386778,292.49319285457966,79.88858255415158,0.1683904263792483
B_learned_surrogate,0.1,0.9,0,0.7001487225819013,0.8915157552144135,0.8915157552144135,0.8915157552144135,0.7853464377794562
B_learned_surrogate,0.1,0.9,1,1.070103533105918,1.3911823656396227,1.592875595715937,1.592875595715937,0.6718060945776165
B_learned_surrogate,0.1,0.9,2,1.4158896025085748,1.9356902629152914,2.3768233048557534,2.0499775546859227,0.5957067147633439
B_learned_surrogate,0.1,0.9,3,1.719530906087559,2.4259907029393553,3.1117308963564043,2.473472027466503,0.5525962762721534
B_learned_surrogate,0.1,0.9,4,1.963972874977653,3.013980446116703,3.761005472452561,2.853857338841918,0.5221935701404182
B_learned_surrogate,0.1,0.9,5,2.222697745971343,3.54162921715694,4.316070572217943,3.143699728785278,0.5149817892873663
B_learned_surrogate,0.1,0.9,6,2.4548469790877028,4.087081287469917,4.780475163696221,3.371932308904124,0.5135152667940307
B_learned_surrogate,0.1,0.9,7,2.658766814433459,4.553892782932792,5.163240430067903,3.5465162510214894,0.5149415082339082
B_learned_surrogate,0.1,0.9,8,2.831868147378407,4.958705234072434,5.475331307129114,3.6798374598628456,0.5172048938282866
C_var_timeseries,0.1,0.9,0,0.5097358001935565,0.9741697141775956,0.9741697141775956,0.9741697141775956,0.523251536949987
C_var_timeseries,0.1,0.9,1,2.337827702523872,7.831683592466704,6.322439225155137,6.322439225155137,0.3697667338932004
C_var_timeseries,0.1,0.9,2,3.832692096475077,10.975002233268883,14.185028393177841,14.18502839317784,0.2701927687588116
C_var_timeseries,0.1,0.9,3,5.07698095845382,15.368333442352686,22.505129891387195,22.50512989138719,0.22559216422904546
C_var_timeseries,0.1,0.9,4,6.234056653110959,19.768451060806484,29.827334716573436,29.827334716573436,0.20900481763954026
C_var_timeseries,0.1,0.9,5,7.418307144424717,24.992338100209828,35.77757757893216,35.77757757893216,0.2073451487334076
C_var_timeseries,0.1,0.9,6,8.435629192854355,30.766675772735304,40.370067912128945,40.37006791212894,0.20895751801100937
C_var_timeseries,0.1,0.9,7,9.66461336901657,37.96194914537481,43.80285830625578,43.80285830625578,0.22063887478402983
C_var_timeseries,0.1,0.9,8,10.73707124108273,46.06133579644712,46.315596324780664,46.31559632478066,0.23182409583568234
C_var_timeseries,0.1,0.9,9,11.967915537384124,54.79907744765652,48.12931454753175,48.129314547531735,0.24866166597001502
C_var_timeseries,0.1,0.9,10,12.989103689275353,66.97310385514083,49.42611602994756,49.42611602994754,0.26279838944668815
D_multimodal_failure,0.1,0.9,0,0.43483475000816413,0.5536846937089979,0.5536846937089979,0.5536846937089979,0.7853472471765706
D_multimodal_failure,0.1,0.9,1,8.318730892920426,10.762042974199534,7.529178012391678,7.529178012391678,1.1048657475263948
D_multimodal_failure,0.1,0.9,2,22.91941376255362,36.25407731879517,22.987210912295474,20.46068419089638,0.997050657863604
D_multimodal_failure,0.1,0.9,3,32.002145634450194,66.93538040549025,47.10326708277924,30.96603005478365,0.6794039483123252
D_multimodal_failure,0.1,0.9,4,37.802754763923616,85.01874729024121,80.06377508617734,38.31457545608646,0.47215803555645847
D_multimodal_failure,0.1,0.9,5,41.58482139868216,97.27502557045521,122.0756179772585,43.09794889503802,0.3406480514923873
D_multimodal_failure,0.1,0.9,6,43.94231611543372,105.1420426385062,173.34993100058682,46.10276004143117,0.2534890891608429
